#--------------------------------------------------------------------------------,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         57.967,decimal degrees,,
Longitude                   ,,         21.550,decimal degrees,,
Year                        ,,           2018,,,
Month                       ,,              1,,,
Day                         ,,             10,,,
Time                        ,,           4.08,decimal hours (UT),,
METADATA,
Country                     ,,             EE,NODC code,ESTONIA
Accession Number            ,,        175327.,NODC code,,
Platform                    ,,          9833.,OCL code,SALME (F/V; call sign ES2408; built 1974; ex Neshamar 1999;IMO7431337),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,       4.8,0, ,     7.031,0, ,
         2,        5.,0, ,       4.8,0, ,     7.031,0, ,
         3,       10.,0, ,     4.807,0, ,     7.034,0, ,
         4,       15.,0, ,     5.325,0, ,     7.139,0, ,
         5,       20.,0, ,     5.574,0, ,     7.213,0, ,
         6,       25.,0, ,     5.619,0, ,     7.224,0, ,
         7,       30.,0, ,     5.724,0, ,     7.245,0, ,
         8,       35.,0, ,     5.738,0, ,     7.252,0, ,
         9,       40.,0, ,     5.765,0, ,     7.257,0, ,
        10,       45.,0, ,     5.787,0, ,     7.262,0, ,
        11,       50.,0, ,     5.891,0, ,     7.289,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       18851540,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,EE-178         ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,        57.9750,decimal degrees,,
Longitude                   ,,         20.533,decimal degrees,,
Year                        ,,           2018,,,
Month                       ,,              1,,,
Day                         ,,             10,,,
Time                        ,,           8.32,decimal hours (UT),,
METADATA,
Country                     ,,             EE,NODC code,ESTONIA
Accession Number            ,,        175327.,NODC code,,
Platform                    ,,          9833.,OCL code,SALME (F/V; call sign ES2408; built 1974; ex Neshamar 1999;IMO7431337),
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     5.194,0, ,     7.166,0, ,
         2,        5.,0, ,     5.195,0, ,     7.165,0, ,
         3,       10.,0, ,     5.197,0, ,     7.165,0, ,
         4,       15.,0, ,     5.192,0, ,     7.166,0, ,
         5,       20.,0, ,     5.195,0, ,     7.167,0, ,
         6,       25.,0, ,       5.2,0, ,     7.167,0, ,
         7,       30.,0, ,     5.243,0, ,     7.173,0, ,
         8,       35.,0, ,     5.256,0, ,     7.174,0, ,
         9,       40.,0, ,     5.265,0, ,     7.175,0, ,
        10,       45.,0, ,     5.414,0, ,     7.206,0, ,
        11,       50.,0, ,     5.753,0, ,      7.31,0, ,
        12,       55.,0, ,     6.135,0, ,     7.711,0, ,
        13,       60.,0, ,     6.051,0, ,     9.143,4, ,
        14,       65.,0, ,     5.825,0, ,     9.812,0, ,
        15,       70.,0, ,     5.788,0, ,    10.336,0, ,
        16,       75.,0, ,      5.88,0, ,    10.624,0, ,
        17,       80.,0, ,     5.928,0, ,    10.772,0, ,
        18,       85.,0, ,     6.011,0, ,    10.935,0, ,
        19,       90.,0, ,     6.142,0, ,     11.17,0, ,
        20,       95.,0, ,     6.262,0, ,    11.419,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,       19412787,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,SE-5141        ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,        58.2583,decimal degrees,,
Longitude                   ,,         11.433,decimal degrees,,
Year                        ,,           2018,,,
Month                       ,,              1,,,
Day                         ,,             10,,,
Time                        ,,           8.58,decimal hours (UT),,
METADATA,
Country                     ,,             SE,NODC code,SWEDEN
Accession Number            ,,        191553.,NODC code,,
Platform                    ,,          6254.,OCL code,SENSOR (SDGC),
Bottom depth                ,,            73.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            15.,WOD code,ICES (International Council for the Exploration of the Sea),
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,,
         1,        0.,0, ,      3.56,0, ,     22.66,0, ,
         2,        5.,0, ,      3.95,0, ,     24.47,0, ,
         3,       10.,0, ,      4.62,0, ,     26.27,0, ,
         4,       15.,0, ,      4.89,0, ,     26.85,0, ,
